trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,type,capabilities,userfound,device,mfgrId,name,country,region,road,city,housenumber,postalcode
50.81544113,15.67512798,,0,20240705-00000,2024-07-05T12:00:00.000Z,2024-07-05T05:00:00.000Z,2024-07-05T05:00:00.000Z,00:03:19:03:5e:49,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81554794,15.67516136,,0,20240712-00000,2024-07-09T09:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:21:f2:d5,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81547928,15.67519951,,0,20240712-00000,2024-07-09T12:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:25:be:ab,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81551743,15.67502213,,0,20240705-00000,2024-07-05T08:00:00.000Z,2024-07-05T05:00:00.000Z,2024-07-05T05:00:00.000Z,00:03:19:26:fc:45,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81552505,15.67506027,,1,20240708-00000,2024-07-08T09:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:27:76:7b,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81547928,15.67519951,,0,20240712-00000,2024-07-09T12:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:27:8f:e3,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.79312897,15.81609249,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:5b:92:3b,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Karkonoska,,,58-530
50.81554794,15.67532635,,0,20240706-00000,2024-07-06T18:00:00.000Z,2024-07-06T11:00:00.000Z,2024-07-06T11:00:00.000Z,00:03:19:79:86:bd,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.78313065,15.76535606,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:03:19:86:be:74,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Kowarska,,4,58-540
50.81571198,15.67518139,smart system eBike,0,20240712-00000,2024-07-09T10:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:04:63:82:39:51,BLE,['Misc'],True,0,,smart system eBike,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81555176,15.67518711,,0,20240712-00000,2024-07-09T09:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:0a:08:b6:57:54,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81559753,15.6759119,,0,20240707-00000,2024-07-07T16:00:00.000Z,2024-07-07T12:00:00.000Z,2024-07-07T12:00:00.000Z,00:0d:19:01:d6:2d,BLE,['Misc'],True,0,,,PL,województwo dolnośląskie,Żołnierska,,64,58-562
50.81545639,15.67520332,,0,20240704-00000,2024-07-04T15:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,00:0e:9f:13:0b:0d,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.8157692,15.67486286,,0,20240708-00000,2024-07-08T17:00:00.000Z,2024-07-08T14:00:00.000Z,2024-07-08T15:00:00.000Z,00:0e:9f:74:0b:14,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81556702,15.67517471,,0,20240704-00000,2024-07-04T10:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,00:10:19:e8:88:68,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81561661,15.67521763,,0,20240707-00000,2024-07-07T17:00:00.000Z,2024-07-07T12:00:00.000Z,2024-07-07T12:00:00.000Z,00:12:1c:46:5e:b5,BT,"['null', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81555176,15.6753521,,0,20240704-00000,2024-07-04T08:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,00:12:1c:a9:a2:1c,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81558609,15.67503166,,1,20240708-00000,2024-07-08T09:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,00:14:09:90:be:d2,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81558228,15.67520428,,0,20240704-00000,2024-07-04T10:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,00:16:73:25:7d:98,BT,"['Handsfree', '10']",True,0,,,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81558228,15.67513275,Interphone ACTIVE BLE,0,20240707-00000,2024-07-07T15:00:00.000Z,2024-07-07T12:00:00.000Z,2024-07-07T12:00:00.000Z,00:16:74:ad:dd:a8,BLE,['Misc'],True,0,,Interphone ACTIVE BLE,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81558228,15.67513275,Interphone ACTIVE BLE,0,20240707-00000,2024-07-07T15:00:00.000Z,2024-07-07T12:00:00.000Z,2024-07-07T12:00:00.000Z,00:16:74:ad:de:25,BLE,['Misc'],True,0,,Interphone ACTIVE BLE,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81562424,15.67503452,HD 350BT,0,20240704-00000,2024-07-04T14:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,00:1b:66:f6:49:18,BLE,['Uncategorized'],True,0,,HD 350BT,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.77733612,15.72646141,KD-X3**BT       ,0,20240711-00000,2024-07-11T08:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,00:1d:86:cf:54:ad,BT,"['null', '10']",False,0,,KD-X3**BT       ,PL,województwo dolnośląskie,Karkonoska,,27,58-540
50.81558609,15.67508507,FMB900_5185469,0,20240705-00000,2024-07-05T09:00:00.000Z,2024-07-05T05:00:00.000Z,2024-07-05T05:00:00.000Z,00:1e:42:9c:20:0a,BT,"['null', '10']",True,0,,FMB900_5185469,PL,województwo dolnośląskie,Żołnierska,,72,58-562
