trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
51.17168808,16.17211533,Qsns_Office_5G,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:1E:42:36:B5:DB,,infra,,2,0,?,?,?,False,40,0,wpa2,PL,województwo dolnośląskie,,Legnica,,59-220
51.20869827,16.19211578,RadAs,0,20240814-00000,2024-08-13T18:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,00:31:92:80:3D:66,,infra,,2,0,?,?,?,False,44,0,wpa2,PL,województwo dolnośląskie,Mirandy,Legnica,8,59-220
51.16848755,16.17344093,3WDB,0,20240814-00000,2024-08-14T12:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:50:7F:F1:16:12,,infra,,2,0,?,?,?,False,2,0,wpa2,PL,województwo dolnośląskie,,Legnica,,59-220
51.16568756,16.17468834,VAP CiscoAir Produktion,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:00,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16575623,16.17479134,VAP CiscoAir Intern,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:01,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16588211,16.17499542,VAP CiscoAir Gast,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:02,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16564941,16.17473793,,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:0E:92:03,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16556931,16.17454529,,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:0C,,infra,,2,0,?,?,?,False,64,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,279,59-220
51.1654129,16.17449379,VAP CiscoAir Gast,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:0D,,infra,,2,0,?,?,?,False,64,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,279,59-220
51.16540527,16.17449188,VAP CiscoAir Intern,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:0E,,infra,,2,0,?,?,?,False,64,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,279,59-220
51.16548538,16.17451668,VAP CiscoAir Produktion,0,20240814-00000,2024-08-14T10:00:00.000Z,2024-08-14T04:00:00.000Z,2024-08-14T04:00:00.000Z,00:5D:73:0E:92:0F,,infra,,2,0,?,?,?,False,64,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,279,59-220
51.16465759,16.17469788,VAP CiscoAir Produktion,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:00,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.1646843,16.17476273,VAP CiscoAir Intern,0,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:5D:73:AF:62:01,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16465759,16.17469788,VAP CiscoAir Gast,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:02,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16464996,16.17476082,,0,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,00:5D:73:AF:62:03,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16465759,16.17470169,,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:0C,,infra,,2,0,?,?,?,False,44,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16466141,16.17472839,VAP CiscoAir Gast,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:0D,,infra,,2,0,?,?,?,False,44,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16466141,16.17472649,VAP CiscoAir Intern,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:0E,,infra,,2,0,?,?,?,False,44,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16466141,16.17472839,VAP CiscoAir Produktion,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:0F,,infra,,2,0,?,?,?,False,44,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
51.16466141,16.17471504,VAP CiscoAir Produktion,1,20240813-00000,2024-08-13T11:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,00:5D:73:AF:62:80,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Jaworzyńska,Legnica,,59-220
