trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.79987335,15.83324051,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,16:49:BC:59:F2:88,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,2a,58-530
50.7815094,15.74378872,HOTEL_DZIKI_POTOK_RPT,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,18:31:BF:9D:80:F6,,infra,,?,0,?,?,?,False,11,0,unknown,PL,województwo dolnośląskie,Myśliwska,,11,58-540
50.79911041,15.82628345,PLAY_Swiatlowodowy_6E92,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,18:34:AF:A6:6E:94,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,4,58-530
50.79937363,15.82717228,PLAY_Swiatlowodowy_6E92_5G,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,18:34:AF:A6:6E:95,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,1a,58-530
50.79476929,15.81885433,HP-Print-2A-LaserJet Pro MFP,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,18:4F:32:4F:7A:2A,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,14/1,58-530
50.7905159,15.77405834,Jula,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,18:D6:C7:97:AB:A0,,infra,,2,0,?,?,?,False,5,0,wpa2,PL,województwo dolnośląskie,Turystyczna,Ścięgny,,58-534
50.78147125,15.74403954,Olaf,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,18:FD:74:44:04:09,,infra,,2,0,?,?,?,False,4,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,11,58-540
50.81561661,15.67519379,My Skoda 5670,0,20240704-00000,2024-07-04T12:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,1A:48:CA:97:BC:5D,,infra,,2,0,?,?,?,True,153,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.78679657,15.72091007,,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,1A:E8:29:91:43:80,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Karkonoska,Sosnówka,55A,58-540
50.78206253,15.75158024,DWR-921E_EB9D0C,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,1C:5F:2B:EB:9D:0C,,infra,,2,0,?,?,?,False,4,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,28,58-540
50.78274918,15.75948715,UPC-AP-1391033,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,1C:64:99:D2:65:2C,,infra,,2,0,?,?,?,False,11,0,wpa2,PL,województwo dolnośląskie,Kolejowa,,10,58-540
50.78272247,15.75952721,UPC-AP-1391033,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,1C:64:99:D2:65:30,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Kolejowa,,10,58-540
50.81556702,15.67521858,Audi_MMI_1537_5GHz,0,20240705-00000,2024-07-05T11:00:00.000Z,2024-07-05T05:00:00.000Z,2024-07-05T05:00:00.000Z,22:BA:36:D0:B8:D9,,infra,,2,0,?,?,?,True,149,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.79213333,15.80218315,Platan WiFi,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,24:5A:4C:34:16:11,,infra,,2,0,?,?,?,False,1,0,wpa2,PL,województwo dolnośląskie,Karpacka,,,58-530
50.79236603,15.80117607,platan,4,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,24:5A:4C:34:19:ED,,infra,,2,0,?,?,?,False,13,0,wpa2,PL,województwo dolnośląskie,Karpacka,,,58-530
50.77826309,15.72621059,PLAY internet 2.4GHz_AE85,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,24:E4:CE:69:AE:87,,infra,,2,0,?,?,?,False,5,0,wpa2,PL,województwo dolnośląskie,Karkonoska,,34A,58-540
50.80075836,15.83049583,PLAY_Swiatlowodowy_5EEA,0,20240712-00000,2024-07-12T11:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,24:E4:CE:6C:5E:EC,,infra,,2,0,?,?,?,True,6,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,,58-530
50.81554794,15.67527866,Koko,2,20240703-00000,2024-07-03T08:00:00.000Z,2024-07-08T06:00:00.000Z,2024-07-08T06:00:00.000Z,26:B7:BB:74:35:E9,,infra,,2,0,?,?,?,True,11,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
