trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,id,attributes,channel,gentype,country,region,road,city,housenumber,postalcode
51.19067001,16.21469498,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_43012121,LTE;26003,75.0,LTE,PL,województwo dolnośląskie,,,,59-220
51.14777756,16.32458878,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-14T06:00:00.000Z,26003_56810_43012131,LTE;26003,3025.0,LTE,PL,województwo dolnośląskie,,,,59-241
51.20410156,16.19499207,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,26003_56810_43012133,LTE;26003,3025.0,LTE,PL,województwo dolnośląskie,Wielkiej Niedźwiedzicy,Legnica,,59-220
51.18738556,16.20884705,Polska Telefonia Komórkowa Centertel Sp. z o.o.,1,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,26003_56810_43012151,LTE;26003,1749.0,LTE,PL,województwo dolnośląskie,,,55,59-241
51.20845795,16.1937294,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,26003_56810_43030308,LTE;26003,3025.0,LTE,PL,województwo dolnośląskie,Księżycowa,Legnica,1,59-220
51.20898438,16.19331932,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T13:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_46365175,HSUPA;pl,,GSM,PL,województwo dolnośląskie,Planetarna,Legnica,10,59-220
51.2070961,16.18068123,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240814-00000,2024-08-14T13:00:00.000Z,2024-08-14T06:00:00.000Z,2024-08-14T06:00:00.000Z,26003_56810_46366273,WCDMA;26003,3082.0,WCDMA,PL,województwo dolnośląskie,Stanisława Moniuszki,Legnica,2,59-220
51.20934677,16.19334793,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T16:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_46389277,WCDMA;26003,3082.0,WCDMA,PL,województwo dolnośląskie,Planetarna,Legnica,10,59-220
51.18970108,16.22271156,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_68743701,LTE;26003,75.0,LTE,PL,województwo dolnośląskie,Koskowicka,,,59-241
51.18893433,16.22557449,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T14:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_68743711,LTE;26003,3025.0,LTE,PL,województwo dolnośląskie,Koskowicka,,,59-241
51.19043732,16.21991348,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T14:00:00.000Z,2024-08-13T10:00:00.000Z,2024-08-13T10:00:00.000Z,26003_56810_68744213,LTE;26003,75.0,LTE,PL,województwo dolnośląskie,Koskowicka,Legnica,,59-220
51.19445038,16.20529556,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-13T06:00:00.000Z,2024-08-13T06:00:00.000Z,26003_56810_68744224,LTE;pl,3025.0,GSM,PL,województwo dolnośląskie,Koskowicka,Legnica,,59-220
51.20877457,16.19275856,Polska Telefonia Komórkowa Centertel Sp. z o.o.,0,20240813-00000,2024-08-13T12:00:00.000Z,2024-08-14T02:00:00.000Z,2024-08-14T02:00:00.000Z,26003_56810_68744736,LTE;26003,3025.0,LTE,PL,województwo dolnośląskie,Mirandy,Legnica,11,59-220
